what,kind,bundleId,bundleVersion,description,time
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1340626790774
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1340626791169
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1340626791510
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1340626791862
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1340626792214
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1340626792565
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1340626792897
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1340626793238
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1340626793554
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1340626793887
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1340626794609
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1340626794649
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1340626794867
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1340626795252
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1340626795610
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1340626795936
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1340626796208
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1340626796680
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1340626797125
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1340626797477
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1340626797866
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1340626798254
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1340626798715
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1340626814397
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340626820965
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1340626821184
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340626821201
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340626822295
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340627261198
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1340627262935
closed,editor,org.eclipse.emf.ecore.editor,2.7.0.v20120130-0943,"org.eclipse.emf.ecore.presentation.EcoreEditorID",1340627262963
opened,editor,org.eclipse.emf.ecore.editor,2.7.0.v20120130-0943,"org.eclipse.emf.ecore.presentation.EcoreEditorID",1340627264158
activated,editor,org.eclipse.emf.ecore.editor,2.7.0.v20120130-0943,"org.eclipse.emf.ecore.presentation.EcoreEditorID",1340627264183
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1340627264281
activated,editor,org.eclipse.emf.ecore.editor,2.7.0.v20120130-0943,"org.eclipse.emf.ecore.presentation.EcoreEditorID",1340627265876
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1340627276509
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340627277483
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340627300704
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340627303234
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1340627303852
closed,editor,org.eclipse.emf.ecore.editor,2.7.0.v20120130-0943,"org.eclipse.emf.ecore.presentation.EcoreEditorID",1340627303873
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340627303911
opened,editor,org.eclipse.emf.ecore.editor,2.7.0.v20120130-0943,"org.eclipse.emf.ecore.presentation.EcoreEditorID",1340627304745
activated,editor,org.eclipse.emf.ecore.editor,2.7.0.v20120130-0943,"org.eclipse.emf.ecore.presentation.EcoreEditorID",1340627304770
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1340627304840
activated,editor,org.eclipse.emf.ecore.editor,2.7.0.v20120130-0943,"org.eclipse.emf.ecore.presentation.EcoreEditorID",1340627306657
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340627349880
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340627412560
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340627414975
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340627494058
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340627514857
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340627886295
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340627887451
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340632845102
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340632847504
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340633085779
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1340633093160
closed,editor,org.eclipse.emf.ecore.editor,2.7.0.v20120130-0943,"org.eclipse.emf.ecore.presentation.EcoreEditorID",1340633093178
opened,editor,org.eclipse.emf.ecore.editor,2.7.0.v20120130-0943,"org.eclipse.emf.ecore.presentation.EcoreEditorID",1340633094158
activated,editor,org.eclipse.emf.ecore.editor,2.7.0.v20120130-0943,"org.eclipse.emf.ecore.presentation.EcoreEditorID",1340633094173
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1340633094221
activated,editor,org.eclipse.emf.ecore.editor,2.7.0.v20120130-0943,"org.eclipse.emf.ecore.presentation.EcoreEditorID",1340633095706
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340633104826
