what,kind,bundleId,bundleVersion,description,time
error,log,,,"Problems encountered during text search.",1340978046434
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340978052143
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1340978061965
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340978086826
executed,command,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search.ui.openSearchDialog",1340978105971
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340978106000
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340978108301
activated,view,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search.ui.views.SearchView",1340978112404
executed,command,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search.ui.openFileSearchPage",1340978112563
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340978112632
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340978113159
error,log,,,"Problems encountered during text search.",1340978114862
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340978116102
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1340978129676
activated,view,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search.ui.views.SearchView",1340978146553
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1340978150630
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340978177878
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340978177933
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1340978177963
activated,view,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search.ui.views.SearchView",1340978182025
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1340978182036
closed,view,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search.ui.views.SearchView",1340978182046
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340978187230
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1340978189721
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340978193548
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1340978197512
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1340978199866
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340978215460
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340978246628
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1340978254514
opened,editor,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui.manifestEditor",1340978257513
activated,editor,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui.manifestEditor",1340978257628
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1340978257660
activated,editor,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui.manifestEditor",1340978259348
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340978262235
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1340978267430
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340978273993
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1340978276786
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340978277795
closed,editor,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui.manifestEditor",1340978277796
started,bundle,org.eclipse.pde.build,3.7.0.v20111116-2009,"org.eclipse.pde.build",1340978277993
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340978283525
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340978283825
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1340978285601
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1340978291743
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1340978291919
started,bundle,org.eclipse.pde.api.tools,1.0.301.v20111129-2053,"org.eclipse.pde.api.tools",1340978292466
started,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1340978292470
started,bundle,org.eclipse.mylyn.pde.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.pde.ui",1340978292471
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340978311003
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340978312640
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340978318772
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340978319285
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340978336380
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340978336560
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1340978339469
started,bundle,org.eclipse.xtext.ui,2.2.1.v201112130541,"org.eclipse.xtext.ui",1340978340165
started,bundle,org.eclipse.xtext,2.2.1.v201112130541,"org.eclipse.xtext",1340978340229
started,bundle,org.eclipse.xtext.builder,2.2.1.v201112130541,"org.eclipse.xtext.builder",1340978341026
started,bundle,org.eclipse.xtext.common.types.ui,2.2.1.v201112130541,"org.eclipse.xtext.common.types.ui",1340978341179
started,bundle,org.eclipse.xtext.common.types,2.2.1.v201112130541,"org.eclipse.xtext.common.types",1340978341277
started,bundle,org.eclipse.xtext.ui.shared,2.2.1.v201112130541,"org.eclipse.xtext.ui.shared",1340978341484
started,bundle,org.eclipse.xtext.common.types.shared,2.2.1.v201112130541,"org.eclipse.xtext.common.types.shared",1340978341667
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1340978341695
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1340978343569
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.core",1340978343687
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1340978344519
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1340978344819
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1340978345817
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1340978350069
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340978352084
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1340978401029
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340978444865
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340978446067
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340978447613
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340978447789
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340978448442
started,bundle,org.eclipse.help.base,3.6.2.v201202080800,"org.eclipse.help.base",1340978457164
started,bundle,org.eclipse.help.ui,3.5.101.r37_20110819,"org.eclipse.help.ui",1340978457180
started,bundle,org.eclipse.equinox.http.jetty,2.0.100.v20110502,"org.eclipse.equinox.http.jetty",1340978457304
started,bundle,org.eclipse.equinox.http.servlet,1.1.200.v20110502,"org.eclipse.equinox.http.servlet",1340978457416
started,bundle,org.eclipse.emf.cdo.net4j,4.0.1.v20111117-0627,"org.eclipse.emf.cdo.net4j",1340978457653
started,bundle,org.eclipse.emf.cdo.common,4.0.1.v20111215-1854,"org.eclipse.emf.cdo.common",1340978457663
started,bundle,org.eclipse.emf.cdo.server,4.0.1.v20111208-1739,"org.eclipse.emf.cdo.server",1340978457665
started,bundle,org.eclipse.emf.cdo,4.0.1.v20120214-1021,"org.eclipse.emf.cdo",1340978457679
started,bundle,org.eclipse.net4j.util.ui,3.1.0.v20110607-1031,"org.eclipse.net4j.util.ui",1340978457683
started,bundle,org.eclipse.emf.cdo.ui,4.0.1.v20111213-0724,"org.eclipse.emf.cdo.ui",1340978457687
started,bundle,org.eclipse.net4j,4.0.1.v20111123-0654,"org.eclipse.net4j",1340978457696
started,bundle,org.eclipse.net4j.tcp,4.0.0.v20110607-1632,"org.eclipse.net4j.tcp",1340978457697
started,bundle,org.eclipse.net4j.util,3.1.1.v20111210-0952,"org.eclipse.net4j.util",1340978457699
started,bundle,org.eclipse.net4j.http.server,4.0.0.v20110528-1118,"org.eclipse.net4j.http.server",1340978457700
started,bundle,org.eclipse.net4j.http.common,4.0.0.v20110528-1118,"org.eclipse.net4j.http.common",1340978457728
started,bundle,org.eclipse.equinox.http.registry,1.1.100.v20110502,"org.eclipse.equinox.http.registry",1340978457872
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.garbagecollector",1340978709028
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340978831265
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340978832497
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340978833519
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340978839835
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340978841998
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340978843803
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340978844572
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340978850939
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340978852072
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340980701836
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340980702741
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340980703151
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340980704560
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340983286831
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340983303250
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340983307213
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340983308011
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340983352449
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340983353397
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340983488725
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1340983488756
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340983490028
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340983541409
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340983542356
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340983549336
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340983608963
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340983610060
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340983680711
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340983684602
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340983704408
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1340983791343
executed,command,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui.runtimeWorkbenchShortcut.run",1340983804252
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340983806019
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340983864322
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340983864429
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340983864954
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340983888645
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340983892981
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340983902174
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340983902257
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1340983902286
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340983906975
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340983940359
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340983942528
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340983945954
